id;year;winner;gp
1;2021;Hamilton;Bahrain
2;2021;Verstappen;Imola
3;2021;Hamilton;Spain
4;2021;Verstappen;Monaco
5;2021;Perez;Baku
6;2021;Verstappen;France
7;2021;Verstappen;Austria
8;2021;Verstappen;Styria
9;2021;Hamilton;GreatBritain
10;2021;Ocon;Hungary
11;2021;Verstappen;Belgium
12;2021;Verstappen;Netherlands
13;2021;Ricciardo;Italy
14;2021;Hamilton;Russia
15;2021;Hamilton;Turkey
16;2021;Verstappen;United States
17;2021;Verstappen;Mexico
18;2021;Hamilton;Brazil
19;2021;Hamilton;Qatar
20;2021;Hamilton;Saudi Arabia
21;2021;Verstappen;Abu Dhabi
22;2021;Hamilton;Portugal
