id;year;winner;gp
1;2021;1;Bahrain
2;2021;3;Imola
3;2021;1;Spain
4;2021;3;Monaco
5;2021;4;Baku
6;2021;3;France
7;2021;3;Austria
8;2021;3;Styria
9;2021;1;GreatBritain
10;2021;9;Hungary
11;2021;3;Belgium
12;2021;3;Netherlands
13;2021;8;Italy
14;2021;1;Russia
15;2021;1;Turkey
16;2021;3;United States
17;2021;3;Mexico
18;2021;1;Brazil
19;2021;1;Qatar
20;2021;1;Saudi Arabia
21;2021;3;AbuDhabi
22;2021;1;Portugal
23;2020;14;Austria
24;2020;1;Styria
25;2020;1;GreatBritain
26;2020;3;70th Anniversary
27;2020;1;Spain
28;2020;1;Belgium
29;2020;19;Italy
30;2020;1;Tuscany
31;2020;14;Russia
32;2020;1;Eifel
33;2020;1;Portugal
34;2020;1;EmiliaRomagna
35;2020;1;Turkey
36;2020;1;Bahrain
37;2020;4;Sakhir
40;2020;1;AbuDhabi
41;2020;1;Hungary

